GOOG
AMKBY
KB
FJTSF
UI
SHLAF
CHHQY
NECPY
PRU
DLMAY
IFCZF
ADDYY
ADYEY
CKHUY
EQT
EPIAF
EPOAY
ONC
DNNGY
DOGEF
CKHUF
HBANM
HBAN
SAABY
FSLR
CICOF
AAVMY
Q
ZTS
TECK
SUNB
BMDPF
NTRA
DSKYF
MTB
CPRT
CICOY
ACGL
TGOPY
KNYJY
KYOCY
LNTCY
HENKY
RYAAY
IQV
AJNMY
FISV
STLA
MTZ
CPNG
DTE
RSHGY
TPR
PMRTY
BTGOF
FICO
TWLO
TDY
ALMMF
KHC
VEEV
NRG
BPXXY
TEFOF
CRCL
AMADF
RJF
CCOZY
CHLSY
SMCI
RSMDF
CW
SMECF
TEAM
FTI
OTIS
TTNDY
IPXHY
HSHCY
NVT
EIX
HMRZF
KUASF
FTAI
PPLC
CTSH
MTSFY
CFG
GELYF
MTRJF
XYL
TELFY
ICAGY
MGDDF
SNMRF
RYLPF
KSHTY
BABWF
MGDDY
PPG
FUJIY
AIBGY
HRNNF
CLPHY
PGPEF
SNMRY
ALFVF
CINF
QBEIF
EJPRY
EJPRF
AXIA
AWK
SYF
WSM
SUTNY
HLAGF
HLMAF
TW
UTHR
FSNUY
OMVKY
FN
VACNY
CRS
NMR
KEY
TEZNY
FUWAY
BDORY
ROL
WST
MKL
FCNCP
FCNCO
CHD
BOUYY
FWONK
PHM
TROW
DLTR
TELNY
TRUMY
EXE
FIS
CMAKY
CTOWY
LEN.B
AGPPF
SGSOF
SURYY
RL
OKTA
ROIV
LYB
TNABF
PPERY
TQLCF
ENTG
TSN
NNGRY
CHKGF
RCI
STE
MDIBY
GBERY
GPN
CLEGF
AA
CAPMF
DKS
NESRF
VNNVF
GBERF
CGEMY
NJDCY
SDMHF
JARLF
CX
GNENY
HKHHF
JIAXF
EFX
MTUAY
TRATF
SBS
RCIAF
BKRIY
BEKE
SAUHF
RGLD
NISTF
EVRG
SITM
MRNA
GWLLY
MMSMY
LNT
MONRF
GWLLF
HUNGF
SSLZY
MGA
TTMI
USFD
STOSF
AMCCF
CABJF
EDRVF
SOMLF
IP
SUVPF
SOMLY
EVMNY
MONRY
WCC
TLN
RAIFF
LII
DAIUF
VODAF
DQJCY
HKHGF
SN
PEXNY
ASBFY
KAOCF
HOKCY
KWHIF
JDEPY
FLUT
TLK
BPCGY
URMCY
FPS
KEP
TSCO
NVR
PHYS
ACXIF
TPG
HGKGY
BMBLF
DOCN
KIM
LUGDF
TYNPF
WTKWY
PTC
GLPEY
TXT
NBIX
PS
PAA
DECK
OUKPY
OVV
RMBS
KAEPY
IEX
GEN
LAMR
PFGC
BNT
PSLV
VICR
SONVY
GPFOF
THC
IPSEY
EVGGF
AHCHY
NWSA
AHKSF
CRWOF
CLH
WHGLY
KPELY
BWA
PILBF
FUTU
YRAIF
NCBDF
CPT
WF
TISCY
TIGO
DTM
MLI
MAS
REGCP
SKM
CPAMF
LKREF
CSL
OHI
FELTY
LYSDY
BAWAY
TRU
VRSUY
STGPF
KRYAF
SMMT
GPC
IFPJF
DOC
IESC
JHX
SKHSF
SYIEF
BVVBY
TMTNF
SOLS
OSGSY
JBS
GLPI
UNM
AMIGF
SNMCY
PRBKY
TRMB
TOL
AKZOY
DRS
BLMOY
TME
BLHWF
APA
ONTO
ARXCY
MXUBY
DSEEY
MKC.V
NIOIF
SNN
TFII
SNLAF
TDHOY
NIO
HKTTF
FIVE
ALGN
QXO
DT
SWK
CRBG
OCPNF
VARRY
ACRFF
AVY
PRDSF
ATGFF
PNW
KTOS
DLAKY
SBHGF
SITIY
BTSGU
AGNCO
AGNCZ
SVTMF
HL
SKFRY
VIAV
YASKY
TDHOF
BDWBY
MIUFY
JOBY
SOTGY
POAHY
BDWBF
CRDIY
ZBRA
HBM
HNSDF
COKE
FHN
MDGL
CPYYY
MOG.A
GDDY
CACI
GBLBY
ASEKF
KLPEF
AIT
MGM
GBLBF
SKBSY
BMRN
SIEVF
TRYIY
PAG
BMNR
QBCRF
CGNX
SKUFF
CLX
IT
GSAT
JEF
OBICY
AKAAF
CCK
CLILF
SGGEF
ORKLY
EHC
EMBJ
SKSBF
MAEOY
FRT
SUZ
SLLDY
DPZ
WTS
TMXXF
KHOLY
BMXXY
SGPYY
RKUNY
SFD
WTFCN
ISUZY
MGYOY
SNTMF
AAVXF
FINGF
CHBAY
UMBFO
SMGZY
SIRI
MICC
ALBKY
BDOUY
HLI
KAIKY
SNCAF
OGE
R
PSHZF
AAL
SPIIY
FCFS
KKOYY
BXP
BROS
MTLHY
LUNR
GME
BAH
TRYIF
MKTAY
HLLGY
NCLTY
CART
MASI
SIMO
ONBPP
SSB
ASGLY
ACLIF
MAKSF
DDS
SUMCF
RRC
IESFY
NRKBF
JSNSF
CUBE
LGN
GMWKF
MSGS
SNEX
BRKR
INPOY
DTCWY
LEVI
ALGM
SHZHY
PSORF
NSANF
ALNPY
WTCHF
TKHVY
INPOF
NUVL
SPHXF
NSANY
EMN
RTLLF
NCLTF
XP
PSPSF
WIGBY
ICL
GGAL
CFR
WRFRF
FR
KT
ACKDF
CMC
NCLH
BRRLY
HLTOY
RYAN
AIXXF
ENS
NEMKY
BYCBF
AIIXY
YAMHF
NEMTF
BLDR
FNMAN
FNMAK
FNMAT
FNMFM
FNMAS
XNGSF
KBDCF
AGCO
FITGF
NEXNY
MLSPF
STJPF
AMG
WILYY
SKPJY
SKPJF
KLYCY
HALO
IBRX
CAMT
SSL
TOTDF
TOPPY
SDXOF
VIRT
ALBHF
CLF
PDI
PTBRY
SCABY
VLVCY
VLYPP
VLY
VLVOF
ECG
RGEDF
KEX
WJRYY
PLLIF
UGI
CHOLF
CORT
FLY
CHRD
NE
ATR
VOYA
HQY
HULCF
THNPY
CWAN
CDP
STAG
JXN
PLXS
NOV
SHTDF
TSUKF
NEU
UMICY
CIG
ESAIY
SPXSF
SNROF
MIDD
JBTM
SHMXY
CEVMY
LGFRY
RIG
SPXSY
TTAN
MTLPF
EXP
DKDRF
SNROY
SRUUF
AACAY
HXL
UEC
ASXFF
KGS
SHTDY
VFC
KIGRY
PUODY
PNDRY
PAYC
LAD
RKGRY
POOL
KCDMY
ROAD
FBASF
YTLCF
INGM
CENX
FSS
KGFHY
SSRM
ASXFY
DELHF
ETSY
HBRIY
PTGX
INGR
FLR
SYRE
KIROY
VNO
MSSMY
NNCHY
MAC
DFILF
AN
WWNTY
USAR
AVTR
FNB
CAR
MIRM
KTWIY
PCTY
GTX
YPHDF
EAT
RRR
BMA
MTHRY
PHJMF
HIMS
LOAR
GLAPF
SCCTY
CACC
UBSI
LNSPF
LW
SLFPY
TVAVF
RSI
SIGCY
TAL
FLG
SQNNY
JBHIF
ACT
BEPC
POR
BLTE
DFYFF
ACMR
NSA
COIHY
TFX
COCSF
BURBY
NOVT
GIGNY
SBSNY
S
ESAB
TKMSF
DELKY
ARGTF
XYIGY
SKSUF
BLCO
NSLYF
KRG
LINRF
HPHTY
ZEGLF
SRTTY
ALM
CGON
MATX
AUOTY
TMSNY
TMHC
JDSPY
BBVPF
WILWY
NAVN
AUB
HPHTF
GAERF
RANJF
LPX
MTG
GCHEF
RUSHA
CNVVY
XENE
DLB
BB
CRC
ZHEXF
GTLB
CWST
SMFRF
VSEC
ARKAF
DUOL
IIDDY
SIGIP
CGHOF
AUTSF
ALK
DLPTF
KYSEF
USSJY
SMBMF
BCPC
TCLHF
XMTR
IEP
HCC
PUMSY
KOTMY
NNNN
NTSK
PAM
BECTY
DNTUY
OGS
GBTG
KYSEY
IPGP
LBRDP
LBRDK
DIOD
XNDU
AMVIF
CGHLY
SITE
EIFZF
NEXXY
AYYLF
CNX
MTN
KVYO
QNTPF
DNLZY
ATAT
CHEOY
NNI
AMVOY
PUTKY
SEPLF
RIOCF
GSISF
SMR
FCN
UNF
RLI
GMVHY
KNTNF
UFPI
SMDPY
EBC
UUUU
MZDAY
AQN
HSSKY
ACDVF
IBOC
YADGF
COLD
TFSL
TBBB
FRMI
HRI
EXLS
NHKGF
CUZ
ACRXF
KPDCF
AD
INDV
AVEX
RDNT
KRNTY
MTH
FELE
NWE
UPCHY
OLED
SZGPY
COCO
BKGFY
TLPFF
SFBS
ELFIF
PTEN
GRTUF
BETA
AKO.B
TAC
MANE
RMVEY
LBTYK
WYGPF
SLM
HCHDF
THO
HGV
SKT
FMCCG
FMCCH
FMCCS
FREJP
FMCCJ
FMCCT
FREJN
FMCKN
CVCO
MWH
MNSO
PSKRF
PSKRY
VEMLY
LIVN
BCHHF
GFF
KRC
SOHVY
CVSA
DNP
ERAS
NDGPF
LOPE
SLGN
TUIFF
PJT
UCB
APNHY
VRNS
SZGPF
SMMBF
BNL
STNG
RGAKF
BELFA
UCTT
NVST
INSW
CRGY
HP
VKTX
VLEEY
TCMFF
TPC
PAFRY
IRTC
UTG
MNGPF
TWODF
ACAD
DORM
VCYT
SKE
CLBT
AHEXY
SLTCY
TDW
JOE
JUMSY
YETI
KFY
FCXXF
BMI
TKKHF
KC
BHF
BHFAO
DAVE
CNS
GBNXF
OSIS
TPZEF
TSYHF
SPTJF
CALM
FOUR
VECO
HGTY
NHPEF
ABG
QNTQY
AB
ARCAY
SIG
NEA
TSYHY
AYAAF
INOD
MCHB
BULL
JOYY
OLGPF
COLM
SII
MHO
NPEGF
CBU
DNLI
MSGE
CC
PTRN
KYIV
NATL
AGO
FHB
OPCH
USLM
OUTKY
AMFPF
HWKN
YAMCY
TBCCF
TGSGY
ARLP
RCUS
SMUPF
SHOO
NICMF
GARPF
SKLTY
AMBA
DNN
TOEAF
TMRAF
ATRO
XISHY
SOCNF
CTRI
TMRAY
ADX
KPLUY
WIX
WBRBY
MAURY
MZTI
KBH
FSM
UNLRF
LXP
ATROB
ITGR
BHE
GEO
HYMC
RTOXF
AYA
MITFF
BBAGF
PATK
NTCT
NIPOF
QTWO
CPK
CSMYF
SBCF
TATYF
HG
DBRG
OUST
PHPPY
CWK
AEHR
EXALF
PFS
SSSAF
BSM
HIW
AMPX
DREUF
CFNCF
FPAFF
HOEGF
PLMR
EXPO
PLXNF
DX
WHR
DBD
KNKZF
WOR
SVM
HMDPF
NAD
FPAFY
PTON
EEFT
ALMS
HLIO
FA
GARPY
CSPKF
UNIT
INTR
PRVA
CWT
CARG
WDFC
ARQT
ALFRY
VIVHY
HSQVY
CZMWF
ASH
FBGGF
DFTX
DHT
DKL
AFBOF
IPEU
MLYS
TRMK
KPLIF
DJT
SMSGY
MXCHF
HXPLF
AUKUF
HOG
AMSSY
SPXX
HNLGY
SHCAY
AMR
ROG
WTTR
PTY
BGAOY
RLX
RUSMF
OCDDY
ILKAF
JBFCF
CDLR
UA
CLDX
ALGT
SOTDY
GRDN
ULIHF
HYSNY
AGYS
KRKKF
FBNC
ADPT
TRRVF
OSW
XIFR
ANDE
CMPR
KGTHY
BKE
RARE
GGGSY
TSRYF
MPJPY
LU
MTPLF
WOSGF
BUSE
CROMF
BVNRY
AVVOF
TBBK
OCDGF
SHHFF
DAC
NZTCF
BCRX
ASRHF
PBH
DXPE
GEBHY
PCTTU
ALRM
CDNL
GRND
RVT
DRSHF
BANR
MTTRY
PFSTY
CENT
PBI
CLM
SRRLF
MBINL
LMAT
PSNY
OSHDF
GCMG
JPFAF
BSTZ
CDDRF
MCRI
CPRI
DSITF
BRSL
VAIAF
CMPNF
AXGN
CLOV
PHVS
CXW
ESTA
GENSY
NWBI
EBLMY
MGNI
NWN
JBLU
DBMBF
SHO
DHC
ZLAB
ZIZTF
NBTX
NEXA
FRHLF
TINLY
PKCOY
MESO
GRC
STC
AUPH
GTY
YLLXF
SNWGF
SXGCF
CELJF
VRDN
DEUZF
FCF
GRGCF
EZPW
LTC
TGLS
RXRX
NWARF
FFXDF
SRPT
AGM.A
HVBVF
CMGMF
POET
COTY
NBHC
PAX
ASPHF
WB
AAPG
MNHFF
ZYME
HMN
PLGO
GEL
INVX
ALG
IOVA
ERMAY
WLTH
CIAFF
GOF
ILPMF
WMK
ASTVF
MAWHY
RMGGF
TCNNF
QURE
ETG
SRCE
AEVA
RLLWF
MD
BSMAF
NCNO
CNXN
GT
SID
GAB
ENVX
TH
SNDX
SLS
PLSE
EPAC
RNDOF
MQY
THQQF
BST
AJMPF
ECPG
VSTS
LAR
VET
PVLA
MDCOY
GENB
KRKNF
SNDA
SJMHF
PARXF
ATAI
GLUE
EOPSF
ZD
BHVN
SVNBY
DCOM
TPB
LILA
HLIT
LSHGF
STBA
TGLVY
FLO
GLP
KMMPF
SFL
PWP
AMVMF
DCH
CNPPF
AVAH
QQQX
GRGTF
COUR
ESBA
REX
CASBF
KW
FDP
SNLRF
INBX
QCRH
UMAC
MLLGF
TRIN
PLFRF
LKFN
EVTC
BY
PRCT
GAM
DV
LOMA
JNNDF
SFRGF
PRG
LINC
RES
TRS
MAZE
TOWCF
DPBSF
PRXXF
ARLO
NWL
FGETF
WWW
KALV
JJSF
YSWY
DFH
MLTX
SATL
MRTN
FRRFF
RVLV
LEG
IAUX
ULCC
PRGS
HMMCF
IRS
SLTMF
WLDN
SUPIF
URGN
PKCPY
SEPN
VZLA
CGIFF
AIOSF
SNMSF
OGPIF
EYE
ADTN
CMP
LLESY
CDRE
BCTCF
TAOFF
EDN
NAK
HROW
GSL
DMLP
SPRPY
LRCDF
ATLCP
AHG
SUUIF
OCS
TWO
SATA
SNSNF
BLGFF
SLCVF
BIREF
BHRB
UMH
FINV
OMGGF
SBH
CHFHY
TTNNF
AFYA
ALX
YELP
TNGRF
PEBO
IART
WLFC
LEFUF
KMTS
TMP
PRA
CPPKF
SILXY
CCO
GSHD
PRSU
BLFS
SIFY
ASA
PKPYY
DTTLF
AVLN
ABTC
ATEX
CFPZF
AGTEF
PNTG
BFLY
CBLNY
SG
TNDM
JKS
GHM
MNKD
ZBIO
AVNS
CVSGF
BVHMF
NDTAF
OLMA
VITBF
FCELB
ENHA
ELE
TDAY
MGRT
CIM
IRPSY
TTAPY
SDGR
TOLWF
EKZRF
MRNFF
FHNGY
FBAK
FPF
CEVA
LGIH
TEN
ASGTF
MPZZF
IQ
UVSP
SMSSY
FUBO
COLL
UPWK
CCB
LZ
DYLLF
BOPCF
MNXBF
MMI
FMBL
XERS
IRCUF
APPS
AZTA
ABSI
SAEYY
KOPN
SMPL
JBIO
MDEVF
UVE
CHI
PLOW
CMRF
TOETF
NLST
APYRF
TWFG
HEPS
CGEM
SDTHF
RCKHF
CTYMF
